identity/LineItemId,identity/TimeInterval,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/UsageAmount,lineItem/UnblendedCost,lineItem/BlendedCost,lineItem/LineItemType,product/region,resourceTags/user:Service,resourceTags/user:Team,resourceTags/user:Env
e60b67ad-e826-5777-161e-95c64c528a2b,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,14.0731,8.685107,8.349705,Usage,us-east-1,,,prod
6909d10e-c6d3-cc83-88d8-871b640f49b0,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,15.5479,9.428037,9.014388,Usage,us-east-1,,,prod
4be3b692-3062-0aba-a1fc-bc8b7a367be0,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,8.4892,8.703849,8.690024,Usage,us-east-1,,,prod
d29b66e3-a359-a0fc-6dcf-3d94babd69cf,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,7.2822,11.075374,10.878855,Usage,us-east-1,,,prod
d54b4845-24c3-4493-d16a-d5be3f90beea,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,13.8933,11.183291,10.640281,Usage,us-east-1,,,prod
9610db31-d729-6dc5-2586-b4226fec3a68,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,17.6086,8.766916,8.798316,Usage,us-east-1,,,prod
4ba184b1-35db-952f-d28f-2832f4887e02,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,18.0869,10.026766,9.672273,Usage,us-east-1,,,prod
a65fcd7f-2687-a5e9-621d-c0e61106b4f7,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,21.9854,8.838393,8.505943,Usage,us-east-1,,,prod
74aca163-c1a4-60bc-cba8-589ae4df0fe1,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,20.6026,9.884776,9.461234,Usage,us-east-1,,,prod
028596e1-91f1-a9b9-ebf9-7345626b3bc1,2026-02-17T00:00:00Z/2026-02-18T00:00:00Z,2026-02-17T00:00:00Z,2026-02-18T00:00:00Z,AmazonEC2,Other,RunInstances,9.1445,11.482913,11.007777,Usage,us-east-1,,,prod
